customer_id,name,age,city,email,purchase_amount,rating
C001,Manish Gupta,47,Pune,customer1@example.com,12322.76,1.0
C002,Neha Joshi,51,Mumbai,customer2@example.com,20677.93,4.5
C003,Amit Kumar,53,Pune,customer3@example.com,12507.1,1.0
C004,Neha Joshi,22,Hyderabad,customer4@example.com,10799.71,2.0
C005,Manish Gupta,44,Hyderabad,customer5@example.com,10820.97,4.5
C006,Rohit Mehta,31,Mumbai,customer6@example.com,17303.61,4.5
C007,Pooja Deshmukh,49,Pune,customer7@example.com,19312.03,2.0
C008,Arjun Singh,44,Delhi,customer8@example.com,1584.39,1.0
C009,Neha Joshi,32,Pune,customer9@example.com,23554.56,3.0
C010,Kavita Shah,35,Hyderabad,customer10@example.com,8201.91,5.0
C011,Arjun Singh,50,Chennai,unknown@example.com,2092.36,5.0
C012,Pooja Deshmukh,30,Pune,customer12@example.com,21133.29,4.0
C013,Unknown,22,Pune,customer13@example.com,12666.79,5.0
C014,Priya Patil,25,Pune,customer14@example.com,15232.470000000001,5.0
C015,Pooja Deshmukh,29,Delhi,customer15@example.com,3266.43,1.0
C016,Arjun Singh,32,Pune,customer16@example.com,23718.5,3.0
C017,Sneha Kulkarni,35,Unknown,customer17@example.com,17179.34,2.0
C018,Manish Gupta,31,Pune,customer18@example.com,21689.62,3.0
C019,Arjun Singh,41,Bangalore,customer19@example.com,16680.33,2.0
C020,Amit Kumar,42,Mumbai,customer20@example.com,8537.57,2.0
C021,Rahul Sharma,22,Pune,customer21@example.com,8625.6,3.0
C022,Neha Joshi,36,Mumbai,unknown@example.com,11477.37,5.0
C023,Amit Kumar,51,Chennai,customer23@example.com,16997.15,2.0
C024,Kavita Shah,53,Bangalore,customer24@example.com,12323.57,4.0
C025,Priya Patil,51,Pune,customer25@example.com,17020.21,4.0
C026,Unknown,54,Chennai,customer26@example.com,14830.91,5.0
C027,Sneha Kulkarni,30,Mumbai,customer27@example.com,14188.64,1.0
C028,Sneha Kulkarni,20,Pune,customer28@example.com,15232.470000000001,1.0
C029,Rahul Sharma,25,Hyderabad,customer29@example.com,4224.3,5.0
C030,Arjun Singh,28,Mumbai,customer30@example.com,11736.69,4.0
C031,Kavita Shah,41,Mumbai,customer31@example.com,18292.27,4.5
C032,Arjun Singh,41,Chennai,customer32@example.com,16413.46,3.0
C033,Amit Kumar,40,Delhi,unknown@example.com,15668.24,4.5
C034,Neha Joshi,56,Unknown,customer34@example.com,20820.87,4.0
C035,Rahul Sharma,38,Mumbai,customer35@example.com,11166.24,2.0
C036,Rohit Mehta,22,Mumbai,customer36@example.com,15132.52,5.0
C037,Priya Patil,30,Bangalore,customer37@example.com,16915.03,2.0
C038,Pooja Deshmukh,41,Delhi,customer38@example.com,23029.7,2.0
C039,Unknown,25,Pune,customer39@example.com,14991.11,4.0
C040,Neha Joshi,39,Mumbai,customer40@example.com,22244.58,4.0
C041,Kavita Shah,48,Chennai,customer41@example.com,16769.8,5.0
C042,Neha Joshi,58,Bangalore,customer42@example.com,15232.470000000001,4.5
C043,Rahul Sharma,47,Delhi,customer43@example.com,15439.44,4.0
C044,Neha Joshi,47,Mumbai,unknown@example.com,20029.42,1.0
C045,Pooja Deshmukh,43,Bangalore,customer45@example.com,11693.41,2.0
C046,Rohit Mehta,38,Mumbai,customer46@example.com,12909.42,5.0
C047,Rohit Mehta,48,Chennai,customer47@example.com,16167.72,3.0
C048,Rohit Mehta,48,Mumbai,customer48@example.com,21405.27,3.0
C049,Arjun Singh,54,Mumbai,customer49@example.com,18136.27,4.5
C050,Sneha Kulkarni,58,Pune,customer50@example.com,24812.56,4.5
C051,Manish Gupta,58,Unknown,customer51@example.com,21258.52,3.0
C052,Unknown,40,Delhi,customer52@example.com,16460.7,1.0
C053,Sneha Kulkarni,43,Delhi,customer53@example.com,7416.89,2.0
C054,Neha Joshi,39,Pune,customer54@example.com,2838.6,1.0
C055,Neha Joshi,24,Delhi,unknown@example.com,23803.02,2.0
C056,Manish Gupta,48,Delhi,customer56@example.com,15232.470000000001,5.0
C057,Rahul Sharma,41,Chennai,customer57@example.com,8813.94,5.0
C058,Neha Joshi,56,Pune,customer58@example.com,19219.02,3.0
C059,Rahul Sharma,23,Delhi,customer59@example.com,1395.49,3.0
C060,Sneha Kulkarni,58,Hyderabad,customer60@example.com,16139.77,2.0
C061,Priya Patil,42,Delhi,customer61@example.com,24996.03,1.0
C062,Kavita Shah,42,Pune,customer62@example.com,2661.07,4.0
C063,Manish Gupta,23,Hyderabad,customer63@example.com,4064.97,4.0
C064,Arjun Singh,48,Delhi,customer64@example.com,18202.7,3.0
C065,Unknown,47,Hyderabad,customer65@example.com,20646.46,3.0
C066,Kavita Shah,49,Pune,unknown@example.com,10011.87,1.0
C067,Sneha Kulkarni,22,Pune,customer67@example.com,23338.98,2.0
C068,Neha Joshi,47,Unknown,customer68@example.com,24379.11,3.0
C069,Kavita Shah,23,Chennai,customer69@example.com,15332.42,2.0
C070,Rohit Mehta,23,Delhi,customer70@example.com,15232.470000000001,1.0
C071,Manish Gupta,31,Hyderabad,customer71@example.com,7914.55,1.0
C072,Sneha Kulkarni,47,Delhi,customer72@example.com,2404.66,2.0
C073,Arjun Singh,30,Pune,customer73@example.com,10437.87,4.0
C074,Pooja Deshmukh,31,Pune,customer74@example.com,20917.38,2.0
C075,Manish Gupta,29,Chennai,customer75@example.com,13077.22,4.5
C076,Sneha Kulkarni,41,Mumbai,customer76@example.com,24013.6,1.0
C077,Neha Joshi,47,Mumbai,unknown@example.com,18181.49,3.0
C078,Unknown,26,Pune,customer78@example.com,8966.77,5.0
C079,Manish Gupta,58,Mumbai,customer79@example.com,6491.12,3.0
C080,Rahul Sharma,44,Pune,customer80@example.com,17488.52,3.0
C081,Kavita Shah,26,Mumbai,customer81@example.com,14635.57,4.0
C082,Manish Gupta,38,Delhi,customer82@example.com,9208.94,2.0
C083,Manish Gupta,53,Pune,customer83@example.com,1139.55,4.0
C084,Rahul Sharma,47,Pune,customer84@example.com,15232.470000000001,2.0
C085,Rahul Sharma,40,Unknown,customer85@example.com,15820.61,2.0
C086,Rahul Sharma,28,Delhi,customer86@example.com,7585.44,2.0
C087,Neha Joshi,44,Delhi,customer87@example.com,15560.23,5.0
C088,Manish Gupta,55,Chennai,unknown@example.com,19142.71,2.0
C089,Rahul Sharma,21,Mumbai,customer89@example.com,21044.96,4.5
C090,Amit Kumar,44,Mumbai,customer90@example.com,2151.52,4.5
C091,Unknown,59,Pune,customer91@example.com,10832.84,1.0
C092,Kavita Shah,23,Pune,customer92@example.com,17717.31,5.0
