customer_id,name,age,city,email,purchase_amount,rating
C001,manish gupta ,47, Pune ,customer1@example.com,12322.76,1
C002,Neha joshi  ,51,mumbai ,customer2@example.com,20677.93,4.5
C003, amit kumar,53, Pune ,customer3@example.com,12507.1,1
C004,Neha joshi  ,22,hyderabad ,customer4@example.com,10799.71,2
C005,manish gupta ,44,hyderabad ,customer5@example.com,10820.97,4.5
C006,ROHIT MEHTA,31,mumbai ,customer6@example.com,17303.61,4.5
C007, pooja deshmukh,49, pune,customer7@example.com,19312.03,2
C008,  arjun singh,44,  delhi,customer8@example.com,1584.39,1
C009,Neha joshi  ,32, pune,customer9@example.com,23554.56,3
C010,KAVITA SHAH,35,hyderabad ,customer10@example.com,8201.91,5
C011,  arjun singh,50, CHENNAI,,2092.36,5
C012, pooja deshmukh,30,Pune,customer12@example.com,21133.29,4
C013,,22, Pune ,customer13@example.com,12666.79,5
C014,PRIYA PATIL ,25,Pune,customer14@example.com,,5
C015, pooja deshmukh,29,  delhi,customer15@example.com,3266.43,1
C016,  arjun singh,32, pune,customer16@example.com,23718.5,
C017,SNEHA KULKARNI ,35,,customer17@example.com,17179.34,2
C018,manish gupta ,31,Pune,customer18@example.com,21689.62,3
C019,  arjun singh,unknown, BANGALORE,customer19@example.com,16680.33,2
C020, amit kumar,42,mumbai ,customer20@example.com,8537.57,2
C021,  rahul sharma,22,Pune,customer21@example.com,Rs.8625.6,3
C022,Neha joshi  ,36,MUMBAI,,11477.37,5
C023, amit kumar,51, CHENNAI,customer23@example.com,16997.15,2
C024,KAVITA SHAH,53, BANGALORE,customer24@example.com,12323.57,4
C025,PRIYA PATIL ,51, pune,customer25@example.com,17020.21,4
C026,,54, CHENNAI,customer26@example.com,14830.91,5
C027,SNEHA KULKARNI ,30,mumbai ,customer27@example.com,14188.64,1
C028,SNEHA KULKARNI ,20, Pune ,customer28@example.com,,1
C029,  rahul sharma,25,hyderabad ,customer29@example.com,4224.3,5
C030,  arjun singh,28,mumbai ,customer30@example.com,11736.69,4
C031,KAVITA SHAH,41,mumbai ,customer31@example.com,18292.27,4.5
C032,  arjun singh,41, CHENNAI,customer32@example.com,16413.46,
C033, amit kumar,40,Delhi ,,15668.24,4.5
C034,Neha joshi  ,56,,customer34@example.com,20820.87,4
C035,  rahul sharma,38,MUMBAI,customer35@example.com,11166.24,2
C036,ROHIT MEHTA,22,MUMBAI,customer36@example.com,15132.52,5
C037,PRIYA PATIL ,30, BANGALORE,customer37@example.com,16915.03,2
C038, pooja deshmukh,unknown,  delhi,customer38@example.com,23029.7,2
C039,,25, pune,customer39@example.com,14991.11,4
